# Time (s)	Velocity (m/s)
1	5.42857
2	6.4812
3	7.36287
4	8.13897
5	8.84106
6	9.48739
7	10.0897
8	10.656
9	11.1923
10	11.7028
11	12.1911
12	12.6599
13	13.1112
14	13.5471
15	13.9689
16	14.3779
17	14.7754
18	15.1621
19	15.539
20	15.9067
21	16.266
22	16.6173
23	16.9612
24	17.2981
25	17.6284
26	17.9526
27	18.2709
28	18.5836
29	18.8911
30	19.1936
31	19.4913
32	19.7845
33	20.0733
34	20.358
35	20.6387
36	20.9155
37	21.1887
38	21.4584
39	21.7247
40	21.9878
41	22.2476
42	22.5045
43	22.7584
44	23.0095
45	23.2578
46	23.5035
47	23.7467
48	23.9873
49	24.2255
50	24.4614
51	24.695
52	24.9264
53	25.1556
54	25.3828
55	25.6079
56	25.8311
57	26.0523
58	26.2716
59	26.4891
60	26.7048
61	26.9188
62	27.1311
63	27.3417
64	27.5507
65	27.7581
66	27.964
67	28.1683
68	28.3712
69	28.5726
70	28.7726
71	28.9712
72	29.1684
73	29.3643
74	29.5589
75	29.7523
76	29.9443
77	30.1352
78	30.3248
79	30.5132
80	30.7005
81	30.8866
82	31.0716
83	31.2555
84	31.4384
85	31.6201
86	31.8008
87	31.9805
88	32.1592
89	32.3369
90	32.5136
91	32.6894
92	32.8642
93	33.038
94	33.211
95	33.3831
96	33.5542
97	33.7245
98	33.894
99	34.0626
100	34.2303
101	34.3973
102	34.5634
103	34.7287
104	34.8933
105	35.057
106	35.22
107	35.3823
108	35.5438
109	35.7045
110	35.8646
111	36.0239
112	36.1825
113	36.3405
114	36.4977
115	36.6543
116	36.8102
117	36.9654
118	37.12
119	37.2739
120	37.4272
121	37.5799
122	37.732
123	37.8834
124	38.0342
125	38.1845
126	38.3341
127	38.4832
128	38.6317
129	38.7796
130	38.927
131	39.0738
132	39.22
133	39.3657
134	39.5109
135	39.6555
136	39.7996
137	39.9432
138	40.0862
139	40.2288
140	40.3708
141	40.5124
142	40.6534
143	40.794
144	40.934
145	41.0736
146	41.2128
147	41.3514
148	41.4896
149	41.6273
150	41.7646
151	41.9014
152	42.0378
153	42.1737
154	42.3092
155	42.4443
156	42.5789
157	42.7131
158	42.8469
159	42.9803
160	43.1132
161	43.2458
162	43.3779
163	43.5096
164	43.641
165	43.7719
166	43.9025
167	44.0326
168	44.1624
169	44.2918
170	44.4208
171	44.5494
172	44.6777
173	44.8056
174	44.9331
175	45.0603
176	45.1871
177	45.3136
178	45.4397
179	45.5654
180	45.6909
181	45.8159
182	45.9406
183	46.065
184	46.1891
185	46.3128
186	46.4362
187	46.5592
188	46.682
189	46.8044
190	46.9265
191	47.0482
192	47.1697
193	47.2908
194	47.4117
195	47.5322
196	47.6524
197	47.7723
198	47.8919
199	48.0112
200	48.1303
