# Time (s)	Velocity (m/s)
1	5.40971
2	6.43152
3	7.27125
4	7.99482
5	8.63423
6	9.20819
7	9.72882
8	10.2046
9	10.6419
10	11.0454
11	11.4189
12	11.7657
13	12.0882
14	12.3887
15	12.6691
16	12.9309
17	13.1758
18	13.4049
19	13.6194
20	13.8203
21	14.0087
22	14.1853
23	14.351
24	14.5064
25	14.6523
26	14.7893
27	14.9179
28	15.0387
29	15.1521
30	15.2586
31	15.3587
32	15.4528
33	15.5411
34	15.6242
35	15.7022
36	15.7755
37	15.8444
38	15.9092
39	15.9701
40	16.0273
41	16.0811
42	16.1317
43	16.1792
44	16.2239
45	16.2659
46	16.3053
47	16.3425
48	16.3774
49	16.4102
50	16.441
51	16.47
52	16.4972
53	16.5229
54	16.5469
55	16.5696
56	16.5909
57	16.6109
58	16.6297
59	16.6474
60	16.664
61	16.6797
62	16.6944
63	16.7082
64	16.7212
65	16.7334
66	16.7449
67	16.7557
68	16.7658
69	16.7753
70	16.7843
71	16.7928
72	16.8007
73	16.8081
74	16.8151
75	16.8217
76	16.8279
77	16.8338
78	16.8392
79	16.8444
80	16.8492
81	16.8538
82	16.858
83	16.8621
84	16.8659
85	16.8694
86	16.8728
87	16.8759
88	16.8788
89	16.8816
90	16.8842
91	16.8867
92	16.889
93	16.8912
94	16.8932
95	16.8951
96	16.8969
97	16.8986
98	16.9002
99	16.9017
100	16.9031
101	16.9045
102	16.9057
103	16.9069
104	16.908
105	16.909
106	16.91
107	16.9109
108	16.9118
109	16.9126
110	16.9133
111	16.914
112	16.9147
113	16.9153
114	16.9159
115	16.9165
116	16.917
117	16.9175
118	16.918
119	16.9184
120	16.9188
121	16.9192
122	16.9196
123	16.9199
124	16.9202
125	16.9205
126	16.9208
127	16.9211
128	16.9213
129	16.9216
130	16.9218
131	16.922
132	16.9222
133	16.9224
134	16.9225
135	16.9227
136	16.9229
137	16.923
138	16.9231
139	16.9233
140	16.9234
141	16.9235
142	16.9236
143	16.9237
144	16.9238
145	16.9239
146	16.924
147	16.924
148	16.9241
149	16.9242
150	16.9242
151	16.9243
152	16.9244
153	16.9244
154	16.9245
155	16.9245
156	16.9246
157	16.9246
158	16.9246
159	16.9247
160	16.9247
161	16.9247
162	16.9248
163	16.9248
164	16.9248
165	16.9249
166	16.9249
167	16.9249
168	16.9249
169	16.9249
170	16.925
171	16.925
172	16.925
173	16.925
174	16.925
175	16.925
176	16.9251
177	16.9251
178	16.9251
179	16.9251
180	16.9251
181	16.9251
182	16.9251
183	16.9251
184	16.9251
185	16.9251
186	16.9252
187	16.9252
188	16.9252
189	16.9252
190	16.9252
191	16.9252
192	16.9252
193	16.9252
194	16.9252
195	16.9252
196	16.9252
197	16.9252
198	16.9252
199	16.9252
200	16.9252
